Imputer,Accuracy,Recall_Class_0,Recall_Class_1,Precision_Class_1,F1_Class_1,TP,FP,TN,FN,Pi_Estimated,Pi_Empirical,Pi_Diff_Class_1
Mode Imputer,0.7631578947368421,0.2857142857142857,0.9454545454545454,0.7761194029850746,0.8524590163934426,52,15,6,3,0.7954545454545454,0.881578947368421,0.0717703349282296
KNN Imputer (k=5),0.8026315789473685,0.47619047619047616,0.9272727272727272,0.8225806451612904,0.8717948717948718,51,11,10,4,0.8157894736842105,0.8157894736842105,0.09210526315789469
Random Forest Imputer,0.7368421052631579,0.38095238095238093,0.8727272727272727,0.7868852459016393,0.8275862068965517,48,13,8,7,0.8026315789473685,0.8026315789473685,0.07894736842105265
EM-GMM Imputer,0.75,0.6190476190476191,0.8,0.8461538461538461,0.822429906542056,44,8,13,11,0.7064574308047531,0.6842105263157895,0.017226779721562724
